Stress	Position	Phoneme	TransitionTo	TransitionalPropbability	TransitionalPredictability	JointPosition	JointTransition	PhonemeOccurences	TransitionToOccurences
Ante_Stress	Onset	*	ɪ	0,0331378077921553	1	Ante_Stress-Onset	*-ɪ	79374	3802
Ante_Stress	Onset	*	f	0,0323611633809348	0,976563192831229	Ante_Stress-Onset	*-f	79374	8127
Ante_Stress	Onset	*	s	0,0320626734983373	0,96755566027296	Ante_Stress-Onset	*-s	79374	6198
Ante_Stress	Onset	*	p	0,0320450568371558	0,967024042089525	Ante_Stress-Onset	*-p	79374	7302
Ante_Stress	Onset	*	b	0,0317793852527207	0,95900686768555	Ante_Stress-Onset	*-b	79374	6050
Ante_Stress	Onset	*	k	0,0311342214354527	0,939537751885419	Ante_Stress-Onset	*-k	79374	8515
Ante_Stress	Onset	*	e̞	0,030630890675432	0,92434873385569	Ante_Stress-Onset	*-e̞	79374	3222
Ante_Stress	Onset	*	m	0,0304948046010378	0,920242062851749	Ante_Stress-Onset	*-m	79374	5077
Ante_Stress	Onset	*	a	0,030372154172627	0,916540839488391	Ante_Stress-Onset	*-a	79374	5740
Ante_Stress	Onset	*	d	0,0301055786359603	0,908496386507713	Ante_Stress-Onset	*-d	79374	3526
Ante_Stress	Onset	*	t	0,0300669831121835	0,907331688950808	Ante_Stress-Onset	*-t	79374	3984
Ante_Stress	Onset	*	r	0,0299906464016342	0,90502807517442	Ante_Stress-Onset	*-r	79374	4365
Ante_Stress	Onset	*	h	0,029363441172188	0,886100895881807	Ante_Stress-Onset	*-h	79374	1636
Ante_Stress	Onset	*	ʝ	0,0285870011771014	0,86267025738102	Ante_Stress-Onset	*-ʝ	79374	1314
Ante_Stress	Onset	*	u	0,0283075946002837	0,854238601956795	Ante_Stress-Onset	*-u	79374	26
Ante_Stress	Onset	*	n	0,0282897730110657	0,853700799657685	Ante_Stress-Onset	*-n	79374	1858
Ante_Stress	Onset	*	v	0,0279213315341901	0,842582337048857	Ante_Stress-Onset	*-v	79374	1460
Ante_Stress	Onset	*	ɔ	0,0275377717495792	0,831007649096759	Ante_Stress-Onset	*-ɔ	79374	1232
Ante_Stress	Onset	*	l	0,0274804736614701	0,829278564044769	Ante_Stress-Onset	*-l	79374	1726
Ante_Stress	Onset	*	ɡ	0,0273993586434625	0,826830755230246	Ante_Stress-Onset	*-ɡ	79374	1332
Ante_Stress	Onset	*	ɛ̝	0,0272227373065912	0,821500851152732	Ante_Stress-Onset	*-ɛ̝	79374	39
